,date,text,followers,polarity,sentiment_confidence,clusters,difference
0,2019-11-24 22:33:52,b'5 Tricks Billionaires Use to Make Their Money Work for Them @themotleyfool #stocks $MDT $D $KMB $KO $BAC $GOOG\xe2\x80\xa6 https://t.co/9eDx6EgM7z',520,0.0,0.0,0,0.0
1,2019-11-24 22:30:07,b'ACTIVE TRADERS Try one of these FREE trading guides:\n\nhttps://t.co/j8cyOxRoYy\n\n$NFLX $TSLA $AAPL $JWN $GS $FB $AMZN $GOOGL $NVDA',495,0.13333333333333336,0.7,3,0.004822428416580136
2,2019-11-24 22:23:46,b'Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/pSZ053t7OR',211,0.1,0.4,3,0.0008809804293492717
3,2019-11-24 22:08:43,"b'RT @StocksNCrypto: FREE A.I. ""Trade of the Week"" being released Monday morning\n\nYou will get entry,exit &amp; target price points, with chart a\xe2\x80\xa6'",6571,0.4,0.8,2,0.21948520952622042
4,2019-11-24 22:07:23,"b'RT @StocksNCrypto: FREE A.I. ""Trade of the Week"" being released Monday morning\n\nYou will get entry,exit &amp; target price points, with chart a\xe2\x80\xa6'",7303,0.4,0.8,2,0.2439355478876865
5,2019-11-24 22:06:56,"b'RT @StocksNCrypto: FREE A.I. ""Trade of the Week"" being released Monday morning\n\nYou will get entry,exit &amp; target price points, with chart a\xe2\x80\xa6'",9208,0.4,0.8,2,0.3075665514103542
6,2019-11-24 22:05:29,"b'FREE A.I. ""Trade of the Week"" being released Monday morning\n\nYou will get entry,exit &amp; target price points, with ch\xe2\x80\xa6 https://t.co/zEQbkKFCvT'",22595,0.4,0.8,2,0.7547204853515371
7,2019-11-24 22:01:59,b'RT @11Graphs: #Stocks visible on published graphs:\n\n$GOOGL $AMZN $AAPL $T $BRK.B $BA $CVX $CSCO $KO $CMCSA $XOM $FB $HD $INTC $JNJ $MA $MRK\xe2\x80\xa6',13,0.0,0.0,0,0.0
8,2019-11-24 22:01:45,b'#Stocks visible on published graphs:\n\n$GOOGL $AMZN $AAPL $T $BRK.B $BA $CVX $CSCO $KO $CMCSA $XOM $FB $HD $INTC\xe2\x80\xa6 https://t.co/LXxruVzIrQ',1191,0.0,0.0,0,0.0
9,2019-11-24 22:00:27,"b""Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at https://t.co/150E68n790 $NVDA $TSLA $GS $REGN $BAC $GOOGL $FB""",495,0.2,0.4,3,0.0041335100713544015
10,2019-11-24 21:59:35,"b'RT @permabear_uk: FAANG - ytd performance:\n$FB +51.7%\n$AAPL +68.4%\n$AMZN +16.2%\n$NFLX +16.0%\n$GOOGL +23.8%\n--\nOn any basis, those are power\xe2\x80\xa6'",486,0.0,0.0,0,0.0
11,2019-11-24 21:55:55,b'RT @JustinPulitzer: Weekend Review VIDEO 11/24 https://t.co/Iq0dtm1v2y\n\n$VIX $TLT $GLD $SPY $IWM $KRE #QQQ $SMH $AMD $MU $NVDA $LRCX $INTC\xe2\x80\xa6',11262,0.0,0.0,0,0.0
12,2019-11-24 21:48:04,b'RT @optionstradin17: Keep this in mind when trading...\n\n$spy $spx $aapl $amzn $mu $amd $baba $fb $Nflx $googl $bac $jpm $wmt $hd $cost $dal\xe2\x80\xa6',100,0.0,0.0,0,0.0
13,2019-11-24 21:46:14,"b'FAANG - ytd performance:\n$FB +51.7%\n$AAPL +68.4%\n$AMZN +16.2%\n$NFLX +16.0%\n$GOOGL +23.8%\n--\nOn any basis, those are\xe2\x80\xa6 https://t.co/hTuiI10bFA'",6149,0.0,0.0,0,0.0
14,2019-11-24 21:40:57,b'$GOOGL #freebie https://t.co/dHQydAX3fP',561,0.0,0.0,0,0.0
15,2019-11-24 21:33:56,b'The Bible of Options Strategies by Guy Cohen: https://t.co/1bff36a9y4 #options #trading $SPY $VIX $AMZN $GOOGL $IBM $AAPL',1137,0.0,0.0,0,0.0
16,2019-11-24 21:30:08,b'ACTIVE TRADERS Try one of these FREE trading guides:\n\nhttps://t.co/cw0w4U0lsg\n\n$NFLX $TSLA $AAPL $BIDU $GS $FB $AMZN $GOOGL $NVDA',495,0.13333333333333336,0.7,3,0.004822428416580136
17,2019-11-24 21:08:41,b'RT @EphraimGolgher: Weekly Stock Market Review: \xe2\x9c\x85Week #48\xe2\x9c\x85Stay Ahead Of The Curve \nhttps://t.co/tgmwaVxqtx #AAPL$NVDA $MU $AMZN $FB $GOOGL\xe2\x80\xa6',2591,0.0,0.0,0,0.0
18,2019-11-24 21:00:38,b'251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE! https://t.co/EBOTskszk8 $BABA $GOOGL $TSLA $BIDU',495,0.0,0.0,0,0.0
19,2019-11-24 20:59:56,"b'@dsj1776 @BioBoyScout @jfais20 $ARWR\nCult like, just like $APPL and $GOOGL $AMZN'",23,0.0,0.0,0,0.0
20,2019-11-24 20:59:31,b'The #1 Options Strategy Investors Ignore (98% success?) - https://t.co/9ZvdQH1HBg\n\n$BTC $MSFT $FB $NVDA $BYND $TWLO\xe2\x80\xa6 https://t.co/qYwOzEa0Iz',495,0.3,0.0,0,0.0
21,2019-11-24 20:55:50,b'RT @chiumeister: T20 11/22\nYr 31% SPY 26%\n25yrs 13.0 SPX 9.8 $BRKB 11.7\n\n\xf0\x9f\x92\x9a $SPY $MDY $IWM $GOOGL $AAPL $ACWX $V $AMD $FB $DIS $BA $MS $DFS\xe2\x80\xa6',2591,0.0,0.0,0,0.0
22,2019-11-24 20:54:36,b'Weekly Stock Market Review: \xe2\x9c\x85Week #48\xe2\x9c\x85Stay Ahead Of The Curve \nhttps://t.co/tgmwaVxqtx #AAPL$NVDA $MU $AMZN $FB\xe2\x80\xa6 https://t.co/aBC0ngS3Fx',1,0.0,0.0,0,0.0
23,2019-11-24 20:45:02,b'Alphabet | $GOOGL\n\nGoogle Monday trade setup\n\nLong or short it on WCX: https://t.co/kZhZHRAI80 https://t.co/U9l2jRky0A',1129,0.0,0.3,3,0.0
24,2019-11-24 20:44:16,b'T20 11/22\nYr 31% SPY 26%\n25yrs 13.0 SPX 9.8 $BRKB 11.7\n\n\xf0\x9f\x92\x9a $SPY $MDY $IWM $GOOGL $AAPL $ACWX $V $AMD $FB $DIS $BA\xe2\x80\xa6 https://t.co/eXAZWHgfgN',539,0.0,0.0,0,0.0
25,2019-11-24 20:37:20,"b""RT @nathanworks: Google's Stadia Faces an Uphill Battle Against Microsoft and Apple @themotleyfool #stocks $GOOGL $GOOG $MSFT $AAPL https:/\xe2\x80\xa6""",2591,0.0,0.0,0,0.0
26,2019-11-24 20:33:56,b'The Craft of Investing by John Train: https://t.co/Qyf4tcmJlH #investing $SPY $QQQ $DIA $SPX $AAPL $GOOGL $TSLA $NFLX $MSFT $INTC $AMD',1137,0.0,0.0,0,0.0
27,2019-11-24 20:32:47,b'RT @amnestypress: Out tomorrow: A major new report from Amnesty Tech on how the #SurveillanceCapitalism business model of @Facebook and @Go\xe2\x80\xa6',824,0.09943181818181818,0.4772727272727273,3,0.004081718266756993
28,2019-11-24 20:30:09,b'ACTIVE TRADERS Try one of these FREE trading guides:\n\nhttps://t.co/SgwdrTUoLa\n\n$NFLX $TSLA $AAPL $PCLN $GS $FB $AMZN $GOOGL $NVDA',495,0.13333333333333336,0.7,3,0.004822428416580136
29,2019-11-24 20:28:55,b'@Crypto_Bitlord I held $GOOGL for decade.\n\nGrab some XRP and man the fuck up!  \n\nOr become an actor immediately \xf0\x9f\x8f\x85',3928,-0.5,0.6,4,-0.12300323909303097
30,2019-11-24 20:26:00,"b""Google's Stadia Faces an Uphill Battle Against Microsoft and Apple @themotleyfool #stocks $GOOGL $GOOG $MSFT $AAPL https://t.co/oZ8IXmt5LY""",500,0.0,0.0,0,0.0
31,2019-11-24 20:25:17,"b""Microsoft's Xbox streaming app isn't official yet, but it's already way better than Google's new video game service\xe2\x80\xa6 https://t.co/grDVg3td73""",118,0.07878787878787878,0.4515151515151515,3,0.0004381648732361216
32,2019-11-24 20:16:02,b'RT @QUANTUM314_: Option alerts in #\xf0\x9f\x94\x94alerts-quantum314 @TRADEREP1 #TradeRep\nWins - 40 \nLosses - 14\nOpen - 5.5\n\nAverage Win / Loss % (82%)\n\nD\xe2\x80\xa6',675,0.8,0.4,2,0.02254641857102401
33,2019-11-24 20:09:49,b'Google Monday trade setup - #GOOGL chart https://t.co/1gybtfl727',33878,0.0,0.0,0,0.0
34,2019-11-24 20:08:28,b'RT @optionstradin17: My Reversal Spotter technique is how I survive in this game. Helps me spot the bottoms and the tops. And there\xe2\x80\x99s only\xe2\x80\xa6',201,-0.4,0.4,3,-0.003356911209463575
35,2019-11-24 20:06:18,"b'Microsoft\xe2\x80\x99s Xbox streaming app isn\xe2\x80\x99t official yet, but it\xe2\x80\x99s already way better than Google\xe2\x80\x99s new video game service\xe2\x80\xa6 https://t.co/h0PTyY55Cu'",59,0.07878787878787878,0.4515151515151515,3,0.0002190824366180608
